do_id	description
DOID:116	pericardium cancer
DOID:117	heart cancer
DOID:119	vaginal cancer
DOID:120	female reproductive organ cancer
DOID:134	vaginal glandular tumor
DOID:136	vaginal carcinosarcoma
DOID:138	vaginal squamous tumor
DOID:154	mixed cell type cancer
DOID:162	cancer
DOID:169	neuroendocrine tumor
DOID:170	endocrine gland cancer
DOID:171	neuroectodermal tumor
DOID:175	vascular cancer
DOID:176	cardiovascular cancer
DOID:184	bone cancer
DOID:192	sex cord-gonadal stromal tumor
DOID:193	reproductive organ cancer
DOID:201	connective tissue cancer
DOID:218	ascending colon cancer
DOID:219	colon cancer
DOID:234	colon adenocarcinoma
DOID:260	hepatic flexure cancer
DOID:261	transverse colon cancer
DOID:262	kidney hemangiopericytoma
DOID:263	kidney cancer
DOID:264	hemangiopericytoma
DOID:265	spleen angiosarcoma
DOID:268	liver angiosarcoma
DOID:270	liver sarcoma
DOID:285	hairy cell leukemia
DOID:292	lacrimal system cancer
DOID:293	lacrimal gland carcinoma
DOID:294	lacrimal gland cancer
DOID:295	eye carcinoma
DOID:296	mixed lacrimal gland cancer
DOID:297	pleomorphic adenoma carcinoma
DOID:298	lacrimal gland adenocarcinoma
DOID:299	adenocarcinoma
DOID:305	carcinoma
DOID:337	spinal accessory nerve neoplasm
DOID:355	mast-cell sarcoma
DOID:363	uterine cancer
DOID:368	cerebrum cancer
DOID:369	olfactory neuroblastoma
DOID:370	malignant olfactory nerve neoplasm
DOID:371	extracranial neuroblastoma
DOID:436	posterior mediastinum cancer
DOID:502	central nervous system mesenchymal non-meningothelial tumor
DOID:512	epididymal neoplasm
DOID:518	scrotum neoplasm
DOID:660	adrenal cortex cancer
DOID:672	spleen cancer
DOID:684	hepatocellular carcinoma
DOID:686	liver carcinoma
DOID:687	hepatoblastoma
DOID:688	embryonal cancer
DOID:706	mature B-cell neoplasm
DOID:707	B-cell lymphoma
DOID:709	splenic manifestation of hairy cell leukemia
DOID:710	splenic manifestation of leukemia
DOID:711	refractory hairy cell leukemia
DOID:712	refractory hematologic cancer
DOID:713	HCL-V
DOID:734	urethra cancer
DOID:736	male urethral cancer
DOID:738	female urethral cancer
DOID:768	retinoblastoma
DOID:769	neuroblastoma
DOID:771	retinal cell cancer
DOID:774	retina lymphoma
DOID:775	intraocular lymphoma
DOID:833	auditory system cancer
DOID:901	liver lymphoma
DOID:903	gastrointestinal lymphoma
DOID:910	occipital lobe neoplasm
DOID:961	neurofibroma of the esophagus
DOID:962	neurofibroma
DOID:1035	aggressive NK-cell leukemia
DOID:1036	chronic leukemia
DOID:1037	lymphoid leukemia
DOID:1039	prolymphocytic leukemia
DOID:1040	chronic lymphocytic leukemia
DOID:1106	esophagus lymphoma
DOID:1107	esophageal carcinoma
DOID:1108	esophagus melanoma
DOID:1114	esophagus sarcoma
DOID:1115	sarcoma
DOID:1138	spinal meningioma
DOID:1140	spinal canal and spinal cord meningioma
DOID:1192	peripheral nervous system neoplasm
DOID:1201	trigeminal nerve neoplasm
DOID:1240	leukemia
DOID:1243	labia minora cancer
DOID:1245	vulva cancer
DOID:1293	labia minora carcinoma
DOID:1294	vulva carcinoma
DOID:1319	brain cancer
DOID:1324	lung cancer
DOID:1325	bronchus cancer
DOID:1355	paranasal sinus lymphoma
DOID:1357	maxillary sinus cancer
DOID:1360	frontal sinus cancer
DOID:1362	paranasal sinus sarcoma
DOID:1363	ethmoid sinus cancer
DOID:1380	endometrial cancer
DOID:1519	cecum carcinoma
DOID:1520	colon carcinoma
DOID:1521	cecum cancer
DOID:1522	cecum lymphoma
DOID:1523	colon lymphoma
DOID:1540	parathyroid carcinoma
DOID:1542	head and neck carcinoma
DOID:1612	breast cancer
DOID:1614	male breast cancer
DOID:1642	breast adenomyoepithelioma
DOID:1647	female breast upper-inner quadrant cancer
DOID:1649	female breast lower-inner quadrant cancer
DOID:1650	female breast axillary tail cancer
DOID:1659	supratentorial cancer
DOID:1660	malignant pineal area germ cell neoplasm
DOID:1664	pineoblastoma
DOID:1703	Richter's syndrome
