mondo_id	description
MONDO:0000371	oral cavity carcinoma in situ
MONDO:0000372	pharynx carcinoma in situ
MONDO:0000373	gall bladder carcinoma in situ
MONDO:0000374	bile duct carcinoma in situ
MONDO:0000375	bronchus carcinoma in situ
MONDO:0000376	respiratory system cancer
MONDO:0000377	malignant Leydig cell tumor
MONDO:0000378	malignant Sertoli cell tumor
MONDO:0000379	malignant Sertoli-Leydig cell tumor
MONDO:0000380	paranasal sinus carcinoma
MONDO:0000381	infiltrating renal pelvis transitional cell carcinoma
MONDO:0000402	small cell carcinoma
MONDO:0000405	anal canal cancer
MONDO:0000407	malignant pleural solitary fibrous tumor
MONDO:0000457	classical glioblastoma
MONDO:0000458	proneural glioblastoma
MONDO:0000459	mesenchymal glioblastoma
MONDO:0000460	neural glioblastoma
MONDO:0000500	tongue squamous cell carcinoma
MONDO:0000503	lung adenocarcinoma in situ
MONDO:0000514	bone squamous cell carcinoma
MONDO:0000515	bone chondrosarcoma
MONDO:0000519	corpus callosum oligodendroglioma
MONDO:0000520	parietal lobe ependymal tumor
MONDO:0000521	salivary gland carcinoma
MONDO:0000524	mixed extragonadal germ cell cancer
MONDO:0000531	bronchus mucoepidermoid carcinoma
MONDO:0000532	lung combined type small cell adenocarcinoma
MONDO:0000534	trachea mucoepidermoid carcinoma
MONDO:0000536	pharyngeal squamous cell carcinoma
MONDO:0000539	striated muscle rhabdoid tumor
MONDO:0000541	jejunal adenocarcinoma
MONDO:0000545	sublingual gland adenoid cystic carcinoma
MONDO:0000548	ovarian clear cell cancer
MONDO:0000552	breast lobular carcinoma
MONDO:0000553	uterine corpus endometrial carcinoma
MONDO:0000554	endocervical adenocarcinoma
MONDO:0000607	primary cutaneous T-cell non-Hodgkin lymphoma
MONDO:0000612	lymphatic system cancer
MONDO:0000615	progesterone-receptor positive breast cancer
MONDO:0000616	progesterone-receptor negative breast cancer
MONDO:0000618	Her2-receptor negative breast cancer
MONDO:0000621	immune system cancer
MONDO:0000637	musculoskeletal system cancer
MONDO:0000639	cartilage cancer
MONDO:0000640	central nervous system primitive neuroectodermal neoplasm
MONDO:0000649	sensory system cancer
MONDO:0000653	integumentary system cancer
MONDO:0000715	lymph node adenoid cystic carcinoma
MONDO:0000756	parameningeal embryonal rhabdomyosarcoma
MONDO:0000870	childhood acute lymphoblastic leukemia
MONDO:0000871	T-cell childhood acute lymphocytic leukemia
MONDO:0000872	B-cell childhood acute lymphoblastic leukemia
MONDO:0000874	T-cell childhood lymphoblastic lymphoma
MONDO:0000875	adult acute monocytic leukemia
MONDO:0000891	mixed fibrolamellar hepatocellular carcinoma
MONDO:0000892	colon medullary carcinoma
MONDO:0000893	mixed mucinous and nonmucinous bronchioloalveolar adenocarcinoma
MONDO:0000894	mucinous bronchioloalveolar adenocarcinoma
MONDO:0000895	nonmucinous bronchioloalveolar adenocarcinoma
MONDO:0000919	ampulla of vater cancer
MONDO:0000920	duodenum cancer
MONDO:0000928	eyelid melanoma
MONDO:0000929	balloon cell malignant melanoma
MONDO:0000930	nodular malignant melanoma
MONDO:0000951	thymus lymphoma
MONDO:0000952	cancer of long bone of lower limb
MONDO:0000953	cancer of short bone of lower limb
MONDO:0000954	Meckel diverticulum cancer
MONDO:0000955	ileum cancer
MONDO:0000956	small intestine cancer
MONDO:0000993	prostate squamous cell carcinoma
MONDO:0000994	malignant prostate phyllodes tumor
MONDO:0000996	prostate lymphoma
MONDO:0001016	epididymis cancer
MONDO:0001017	epididymal adenocarcinoma
MONDO:0001056	gastric cancer
MONDO:0001057	malignant gastric granular cell tumor
MONDO:0001059	gastric lymphoma
MONDO:0001060	microinvasive gastric cancer
MONDO:0001061	pylorus cancer
MONDO:0001062	pyloric antrum cancer
MONDO:0001063	cardia cancer
MONDO:0001082	lymph node cancer
MONDO:0001095	mediastinum neuroblastoma
MONDO:0001096	mediastinum ganglioneuroblastoma
MONDO:0001108	broad ligament malignant neoplasm
MONDO:0001128	nasal cavity cancer
MONDO:0001129	nasal cavity olfactory neuroblastoma
MONDO:0001130	nasal cavity lymphoma
MONDO:0001187	urinary bladder cancer
MONDO:0001188	esophagus lymphoma
MONDO:0001192	esophageal melanoma
MONDO:0001204	esophagus sarcoma
MONDO:0001235	appendix cancer
MONDO:0001237	appendix lymphoma
MONDO:0001293	subglottis cancer
MONDO:0001319	bladder lateral wall cancer
MONDO:0001322	pericardium cancer
MONDO:0001325	penile cancer
MONDO:0001340	heart cancer
MONDO:0001350	parametrium malignant neoplasm
MONDO:0001351	uterine adnexa cancer
MONDO:0001352	round ligament malignant neoplasm
MONDO:0001372	bladder neck cancer
MONDO:0001373	urinary bladder posterior wall cancer
MONDO:0001374	bladder sarcoma
MONDO:0001375	bladder trigone cancer
MONDO:0001376	urinary bladder anterior wall cancer
MONDO:0001378	urachus cancer
MONDO:0001379	ureteric orifice cancer
